,Date,Adilabad_Temp,Adilabad_Upper_Limit,Adilabad_Lower_Limit,Adilabad_HeatWave,Karimnagar_Temp,Karimnagar_Upper_Limit,Karimnagar_Lower_Limit,Karimnagar_HeatWave,Khammam_Temp,Khammam_Upper_Limit,Khammam_Lower_Limit,Khammam_HeatWave,Nizamabad_Temp,Nizamabad_Upper_Limit,Nizamabad_Lower_Limit,Nizamabad_HeatWave,Warangal_Temp,Warangal_Upper_Limit,Warangal_Lower_Limit,Warangal_HeatWave
203,21-04-2023,39.481964,42.80683503,36.15709319,0,37.381966,39.87465139,34.88927989,0,36.92242,39.23493649,34.60990452,0,38.813484,42.04693643,35.58003195,0,29.888227,38.51442175,21.26203317,0
204,22-04-2023,39.297085,42.62197619,35.97219343,0,37.60551,40.0982118,35.11280962,0,36.799236,39.11176652,34.48670608,0,38.57084,41.80431107,35.33736679,0,29.853752,38.47999952,21.22750475,0
205,23-04-2023,39.368168,42.69308058,36.04325518,0,37.40294,39.89565592,34.91022177,0,36.887913,39.2004578,34.5753677,0,38.142048,41.37554076,34.90855501,0,29.903002,38.52930447,21.2766991,0
206,24-04-2023,39.382874,42.7078084,36.05793867,0,37.32575,39.81848214,34.83301475,0,37.27365,39.58621159,34.96109066,0,38.304188,41.53770221,35.07067334,0,29.682142,38.30850246,21.05578205,0
207,25-04-2023,39.523365,42.84832291,36.19840713,0,37.91732,40.4100712,35.4245693,0,37.324356,39.63693256,35.0117796,0,38.80411,42.0376483,35.57057466,0,29.809862,38.43628207,21.1834422,0
208,26-04-2023,39.53097,42.85595329,36.20598976,0,38.03729,40.53005752,35.54451981,0,37.2897,39.60229264,34.97710647,0,38.66432,41.89788194,35.43076186,0,29.975744,38.60222612,21.34926237,0
209,27-04-2023,39.530884,42.85589028,36.2058773,0,38.115612,40.60839942,35.62282464,0,37.46856,39.78116955,35.15594898,0,38.807926,42.04151026,35.57434209,0,29.98095,38.60749543,21.35440337,0
210,28-04-2023,39.518623,42.84365542,36.19359128,0,38.238827,40.73163332,35.74602019,0,37.920135,40.23276357,35.60750743,0,39.05345,42.2870605,35.81984258,0,29.873016,38.49962875,21.24640397,0
211,29-04-2023,39.51818,42.84323935,36.19312235,0,38.222084,40.71491043,35.72925766,0,37.870758,40.18340451,35.5581116,0,39.139614,42.37324877,35.90597944,0,29.718565,38.34524595,21.09188402,0
212,30-04-2023,39.553715,42.87880054,36.22862897,0,38.307796,40.80064332,35.81494964,0,37.990883,40.30354831,35.67821744,0,38.89043,42.12409165,35.65676925,0,29.814625,38.44137654,21.18787303,0
